"Station","Code","Count","days","RAI","habitat_type","trail","river_dist","ocean_dist","road_dist","trail_dist","altitude","canopy_cover","canopy_height","Y","X"
"CT21","raccoon",0,108,0,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","raccoon",0,109,0,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","raccoon",1,109,0.92,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","raccoon",0,109,0,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","raccoon",0,109,0,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","raccoon",0,108,0,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","raccoon",2,108,1.85,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","raccoon",0,107,0,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","raccoon",0,104,0,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
"CT32","raccoon",0,91,0,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","raccoon",0,108,0,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","raccoon",0,110,0,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
"CT35","raccoon",1,109,0.92,"plantation","on",90,2176,274,1,243,59.29,9.307,8.40897222222222,-83.31725
"CT36","raccoon",0,82,0,"primary","off",136,2097,570,1,172,85.78,12.398,8.40597222222222,-83.3144722222222
"CT38","raccoon",1,94,1.06,"primary","off",772,2749,677,558,47,60.12,21.461,8.42577777777778,-83.3496388888889
"CT39","raccoon",0,94,0,"primary","off",894,2734,344,100,51,65.39,15.923,8.42433333333333,-83.34575
"CT40","raccoon",0,108,0,"primary","off",591,2698,128,230,175,35.4,8.216,8.42258333333333,-83.3415
"CT42","raccoon",1,104,0.96,"plantation","off",131,2649,832,636,85,79.31,11.111,8.41966666666667,-83.3341666666667
"CT43","raccoon",0,91,0,"secondary","off",10,2669,1286,343,78,84.21,17.369,8.41802777777778,-83.32875
"CT44","raccoon",0,108,0,"plantation","off",204,2617,887,26,242,64.24,10.925,8.41613888888889,-83.3245277777778
"CT46","raccoon",0,106,0,"plantation","off",121,2623,76,375,300,49.74,17.294,8.41305555555556,-83.31625
"CT47","raccoon",0,102,0,"plantation","off",188,2723,30,591,317,61.45,7.702,8.411,-83.3116111111111
"CT50","raccoon",0,54,0,"primary","off",155,3207,760,150,95,51.21,15.451,8.42522222222222,-83.3348611111111
"CT52","raccoon",0,104,0,"plantation","off",213,3088,1368,5,305,37.29,8.71,8.42152777777778,-83.3271944444444
"CT53","raccoon",2,104,1.92,"primary","off",52,3078,839,206,207,60.59,14.369,8.41988888888889,-83.3226388888889
"CT55","raccoon",0,106,0,"plantation","off",273,3165,152,21,300,72.26,12.334,8.41752777777778,-83.3142222222222
"CT59","raccoon",0,106,0,"secondary","off",901,3845,1520,17,295,90.18,15.222,8.42902777777778,-83.3280833333333
"CT60","raccoon",0,106,0,"primary","on",570,3680,1522,6,290,65.87,12.986,8.4265,-83.3251944444444
"CT61","raccoon",0,106,0,"primary","off",409,3605,1042,8,317,35.98,17.093,8.42436111111111,-83.3209722222222
"CT62","raccoon",0,106,0,"primary","off",623,3587,686,16,296,85.41,18.706,8.42277777777778,-83.3166944444445
"TCT01","raccoon",0,93,0,"primary","on",406,1769,991,0,77,22.53,19.242,8.41002777777778,-83.3304166666667
"TCT02","raccoon",0,80,0,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","raccoon",1,92,1.09,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","raccoon",1,90,1.11,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","raccoon",0,91,0,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","raccoon",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","raccoon",0,75,0,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","raccoon",1,74,1.35,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","raccoon",2,76,2.63,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
"CT02","skunk_striped",0,108,0,"agricultural_matrix","off",1631,252,582,104,12,70.25,10.435,8.40338888888889,-83.3538611111111
"CT03","skunk_striped",4,110,3.64,"agricultural_matrix","off",644,201,96,160,1,22.9,5.697,8.40005555555556,-83.3453611111111
"CT04","skunk_striped",1,110,0.91,"agricultural_matrix","off",1148,230,133,165,6,6.44,9.953,8.40177777777778,-83.3497222222222
"CT06","skunk_striped",0,85,0,"secondary","off",219,135,499,116,14,38.71,7.239,8.39661111111111,-83.3369722222222
"CT07","skunk_striped",0,108,0,"agricultural_matrix","off",1589,787,767,46,13,15.62,9.746,8.40927777777778,-83.35625
"CT08","skunk_striped",0,106,0,"agricultural_matrix","off",1378,760,256,194,19,20.41,7.065,8.4075,-83.3516944444444
"CT09","skunk_striped",3,106,2.83,"agricultural_matrix","off",970,718,38,85,2,12.78,11.038,8.40586111111111,-83.3479722222222
"CT10","skunk_striped",0,106,0,"agricultural_matrix","off",546,702,353,247,17,13.57,6.62,8.40427777777778,-83.3437222222222
"CT12","skunk_striped",0,109,0,"secondary","off",116,671,28,184,29,36.6,14.285,8.40108333333333,-83.3350277777778
"CT13","skunk_striped",0,108,0,"agricultural_matrix","off",1199,1274,291,14,12,32.96,9.125,8.41352777777778,-83.3550555555556
"CT14","skunk_striped",0,108,0,"agricultural_matrix","off",1319,1260,176,385,12,10.81,5.973,8.41186111111111,-83.3504722222222
"CT15","skunk_striped",0,105,0,"secondary","off",817,1224,213,228,7,39.6,10.346,8.41011111111111,-83.34625
"CT16","skunk_striped",0,75,0,"secondary","off",320,1187,136,289,17,20.13,6.029,8.40836111111111,-83.3420555555556
"CT17","skunk_striped",0,110,0,"secondary","off",150,1157,277,111,29,53.33,12.154,8.40663888888889,-83.3377777777778
"CT18","skunk_striped",0,109,0,"primary","off",306,1769,400,8,39,58.42,24.244,8.40505555555556,-83.3336111111111
"CT19","skunk_striped",0,109,0,"primary","off",371,1201,607,88,44,63.1,17.687,8.40463888888889,-83.3305833333333
"CT20","skunk_striped",0,106,0,"secondary","off",951,1769,174,105,23,41.67,15.626,8.41758333333333,-83.3530833333333
"CT21","skunk_striped",0,108,0,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","skunk_striped",1,109,0.92,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","skunk_striped",1,109,0.92,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","skunk_striped",1,109,0.92,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","skunk_striped",0,109,0,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","skunk_striped",0,108,0,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","skunk_striped",1,108,0.93,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","skunk_striped",0,107,0,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","skunk_striped",0,104,0,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
"CT32","skunk_striped",2,91,2.2,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","skunk_striped",0,108,0,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","skunk_striped",0,110,0,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
"CT35","skunk_striped",0,109,0,"plantation","on",90,2176,274,1,243,59.29,9.307,8.40897222222222,-83.31725
"CT36","skunk_striped",2,82,2.44,"primary","off",136,2097,570,1,172,85.78,12.398,8.40597222222222,-83.3144722222222
"CT38","skunk_striped",0,94,0,"primary","off",772,2749,677,558,47,60.12,21.461,8.42577777777778,-83.3496388888889
"CT39","skunk_striped",0,94,0,"primary","off",894,2734,344,100,51,65.39,15.923,8.42433333333333,-83.34575
"CT40","skunk_striped",0,108,0,"primary","off",591,2698,128,230,175,35.4,8.216,8.42258333333333,-83.3415
"CT42","skunk_striped",0,104,0,"plantation","off",131,2649,832,636,85,79.31,11.111,8.41966666666667,-83.3341666666667
"CT43","skunk_striped",0,91,0,"secondary","off",10,2669,1286,343,78,84.21,17.369,8.41802777777778,-83.32875
"CT44","skunk_striped",0,108,0,"plantation","off",204,2617,887,26,242,64.24,10.925,8.41613888888889,-83.3245277777778
"CT46","skunk_striped",0,106,0,"plantation","off",121,2623,76,375,300,49.74,17.294,8.41305555555556,-83.31625
"CT47","skunk_striped",0,102,0,"plantation","off",188,2723,30,591,317,61.45,7.702,8.411,-83.3116111111111
"CT50","skunk_striped",0,54,0,"primary","off",155,3207,760,150,95,51.21,15.451,8.42522222222222,-83.3348611111111
"CT52","skunk_striped",1,104,0.96,"plantation","off",213,3088,1368,5,305,37.29,8.71,8.42152777777778,-83.3271944444444
"CT53","skunk_striped",0,104,0,"primary","off",52,3078,839,206,207,60.59,14.369,8.41988888888889,-83.3226388888889
"CT55","skunk_striped",0,106,0,"plantation","off",273,3165,152,21,300,72.26,12.334,8.41752777777778,-83.3142222222222
"CT59","skunk_striped",0,106,0,"secondary","off",901,3845,1520,17,295,90.18,15.222,8.42902777777778,-83.3280833333333
"CT60","skunk_striped",0,106,0,"primary","on",570,3680,1522,6,290,65.87,12.986,8.4265,-83.3251944444444
"CT61","skunk_striped",0,106,0,"primary","off",409,3605,1042,8,317,35.98,17.093,8.42436111111111,-83.3209722222222
"CT62","skunk_striped",0,106,0,"primary","off",623,3587,686,16,296,85.41,18.706,8.42277777777778,-83.3166944444445
"TCT01","skunk_striped",0,93,0,"primary","on",406,1769,991,0,77,22.53,19.242,8.41002777777778,-83.3304166666667
"TCT02","skunk_striped",2,80,2.5,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","skunk_striped",0,92,0,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","skunk_striped",5,90,5.56,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","skunk_striped",0,91,0,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","skunk_striped",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","skunk_striped",0,75,0,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","skunk_striped",0,74,0,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","skunk_striped",1,76,1.32,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
"CT02","tamandua",1,108,0.93,"agricultural_matrix","off",1631,252,582,104,12,70.25,10.435,8.40338888888889,-83.3538611111111
"CT03","tamandua",2,110,1.82,"agricultural_matrix","off",644,201,96,160,1,22.9,5.697,8.40005555555556,-83.3453611111111
"CT04","tamandua",4,110,3.64,"agricultural_matrix","off",1148,230,133,165,6,6.44,9.953,8.40177777777778,-83.3497222222222
"CT06","tamandua",0,85,0,"secondary","off",219,135,499,116,14,38.71,7.239,8.39661111111111,-83.3369722222222
"CT07","tamandua",2,108,1.85,"agricultural_matrix","off",1589,787,767,46,13,15.62,9.746,8.40927777777778,-83.35625
"CT08","tamandua",1,106,0.94,"agricultural_matrix","off",1378,760,256,194,19,20.41,7.065,8.4075,-83.3516944444444
"CT09","tamandua",3,106,2.83,"agricultural_matrix","off",970,718,38,85,2,12.78,11.038,8.40586111111111,-83.3479722222222
"CT10","tamandua",2,106,1.89,"agricultural_matrix","off",546,702,353,247,17,13.57,6.62,8.40427777777778,-83.3437222222222
"CT12","tamandua",0,109,0,"secondary","off",116,671,28,184,29,36.6,14.285,8.40108333333333,-83.3350277777778
"CT13","tamandua",0,108,0,"agricultural_matrix","off",1199,1274,291,14,12,32.96,9.125,8.41352777777778,-83.3550555555556
"CT14","tamandua",0,108,0,"agricultural_matrix","off",1319,1260,176,385,12,10.81,5.973,8.41186111111111,-83.3504722222222
"CT15","tamandua",1,105,0.95,"secondary","off",817,1224,213,228,7,39.6,10.346,8.41011111111111,-83.34625
"CT16","tamandua",0,75,0,"secondary","off",320,1187,136,289,17,20.13,6.029,8.40836111111111,-83.3420555555556
"CT17","tamandua",1,110,0.91,"secondary","off",150,1157,277,111,29,53.33,12.154,8.40663888888889,-83.3377777777778
"CT18","tamandua",5,109,4.59,"primary","off",306,1769,400,8,39,58.42,24.244,8.40505555555556,-83.3336111111111
"CT19","tamandua",0,109,0,"primary","off",371,1201,607,88,44,63.1,17.687,8.40463888888889,-83.3305833333333
"CT20","tamandua",1,106,0.94,"secondary","off",951,1769,174,105,23,41.67,15.626,8.41758333333333,-83.3530833333333
"CT21","tamandua",0,108,0,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","tamandua",1,109,0.92,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","tamandua",3,109,2.75,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","tamandua",0,109,0,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","tamandua",0,109,0,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","tamandua",1,108,0.93,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","tamandua",3,108,2.78,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","tamandua",0,107,0,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","tamandua",1,104,0.96,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
"CT32","tamandua",1,91,1.1,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","tamandua",0,108,0,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","tamandua",0,110,0,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
"CT35","tamandua",1,109,0.92,"plantation","on",90,2176,274,1,243,59.29,9.307,8.40897222222222,-83.31725
"CT36","tamandua",1,82,1.22,"primary","off",136,2097,570,1,172,85.78,12.398,8.40597222222222,-83.3144722222222
"CT38","tamandua",0,94,0,"primary","off",772,2749,677,558,47,60.12,21.461,8.42577777777778,-83.3496388888889
"CT39","tamandua",0,94,0,"primary","off",894,2734,344,100,51,65.39,15.923,8.42433333333333,-83.34575
"CT40","tamandua",0,108,0,"primary","off",591,2698,128,230,175,35.4,8.216,8.42258333333333,-83.3415
"CT42","tamandua",2,104,1.92,"plantation","off",131,2649,832,636,85,79.31,11.111,8.41966666666667,-83.3341666666667
"CT43","tamandua",0,91,0,"secondary","off",10,2669,1286,343,78,84.21,17.369,8.41802777777778,-83.32875
"CT44","tamandua",0,108,0,"plantation","off",204,2617,887,26,242,64.24,10.925,8.41613888888889,-83.3245277777778
"CT46","tamandua",1,106,0.94,"plantation","off",121,2623,76,375,300,49.74,17.294,8.41305555555556,-83.31625
"CT47","tamandua",0,102,0,"plantation","off",188,2723,30,591,317,61.45,7.702,8.411,-83.3116111111111
"CT50","tamandua",1,54,1.85,"primary","off",155,3207,760,150,95,51.21,15.451,8.42522222222222,-83.3348611111111
"CT52","tamandua",0,104,0,"plantation","off",213,3088,1368,5,305,37.29,8.71,8.42152777777778,-83.3271944444444
"CT53","tamandua",0,104,0,"primary","off",52,3078,839,206,207,60.59,14.369,8.41988888888889,-83.3226388888889
"CT55","tamandua",0,106,0,"plantation","off",273,3165,152,21,300,72.26,12.334,8.41752777777778,-83.3142222222222
"CT59","tamandua",2,106,1.89,"secondary","off",901,3845,1520,17,295,90.18,15.222,8.42902777777778,-83.3280833333333
"CT60","tamandua",0,106,0,"primary","on",570,3680,1522,6,290,65.87,12.986,8.4265,-83.3251944444444
"CT61","tamandua",2,106,1.89,"primary","off",409,3605,1042,8,317,35.98,17.093,8.42436111111111,-83.3209722222222
"CT62","tamandua",4,106,3.77,"primary","off",623,3587,686,16,296,85.41,18.706,8.42277777777778,-83.3166944444445
"TCT01","tamandua",0,93,0,"primary","on",406,1769,991,0,77,22.53,19.242,8.41002777777778,-83.3304166666667
"TCT02","tamandua",1,80,1.25,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","tamandua",0,92,0,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","tamandua",1,90,1.11,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","tamandua",2,91,2.2,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","tamandua",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","tamandua",2,75,2.67,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","tamandua",13,74,17.57,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","tamandua",0,76,0,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
"CT02","tapir",0,108,0,"agricultural_matrix","off",1631,252,582,104,12,70.25,10.435,8.40338888888889,-83.3538611111111
"CT03","tapir",0,110,0,"agricultural_matrix","off",644,201,96,160,1,22.9,5.697,8.40005555555556,-83.3453611111111
"CT04","tapir",0,110,0,"agricultural_matrix","off",1148,230,133,165,6,6.44,9.953,8.40177777777778,-83.3497222222222
"CT06","tapir",0,85,0,"secondary","off",219,135,499,116,14,38.71,7.239,8.39661111111111,-83.3369722222222
"CT07","tapir",1,108,0.93,"agricultural_matrix","off",1589,787,767,46,13,15.62,9.746,8.40927777777778,-83.35625
"CT08","tapir",0,106,0,"agricultural_matrix","off",1378,760,256,194,19,20.41,7.065,8.4075,-83.3516944444444
"CT09","tapir",0,106,0,"agricultural_matrix","off",970,718,38,85,2,12.78,11.038,8.40586111111111,-83.3479722222222
"CT10","tapir",0,106,0,"agricultural_matrix","off",546,702,353,247,17,13.57,6.62,8.40427777777778,-83.3437222222222
"CT12","tapir",0,109,0,"secondary","off",116,671,28,184,29,36.6,14.285,8.40108333333333,-83.3350277777778
"CT13","tapir",0,108,0,"agricultural_matrix","off",1199,1274,291,14,12,32.96,9.125,8.41352777777778,-83.3550555555556
"CT14","tapir",0,108,0,"agricultural_matrix","off",1319,1260,176,385,12,10.81,5.973,8.41186111111111,-83.3504722222222
"CT15","tapir",0,105,0,"secondary","off",817,1224,213,228,7,39.6,10.346,8.41011111111111,-83.34625
"CT16","tapir",0,75,0,"secondary","off",320,1187,136,289,17,20.13,6.029,8.40836111111111,-83.3420555555556
"CT17","tapir",0,110,0,"secondary","off",150,1157,277,111,29,53.33,12.154,8.40663888888889,-83.3377777777778
"CT18","tapir",0,109,0,"primary","off",306,1769,400,8,39,58.42,24.244,8.40505555555556,-83.3336111111111
"CT19","tapir",0,109,0,"primary","off",371,1201,607,88,44,63.1,17.687,8.40463888888889,-83.3305833333333
"CT20","tapir",0,106,0,"secondary","off",951,1769,174,105,23,41.67,15.626,8.41758333333333,-83.3530833333333
"CT21","tapir",0,108,0,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","tapir",0,109,0,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","tapir",0,109,0,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","tapir",0,109,0,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","tapir",0,109,0,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","tapir",0,108,0,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","tapir",0,108,0,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","tapir",0,107,0,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","tapir",0,104,0,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
"CT32","tapir",0,91,0,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","tapir",0,108,0,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","tapir",0,110,0,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
"CT35","tapir",0,109,0,"plantation","on",90,2176,274,1,243,59.29,9.307,8.40897222222222,-83.31725
"CT36","tapir",0,82,0,"primary","off",136,2097,570,1,172,85.78,12.398,8.40597222222222,-83.3144722222222
"CT38","tapir",0,94,0,"primary","off",772,2749,677,558,47,60.12,21.461,8.42577777777778,-83.3496388888889
"CT39","tapir",0,94,0,"primary","off",894,2734,344,100,51,65.39,15.923,8.42433333333333,-83.34575
"CT40","tapir",0,108,0,"primary","off",591,2698,128,230,175,35.4,8.216,8.42258333333333,-83.3415
"CT42","tapir",0,104,0,"plantation","off",131,2649,832,636,85,79.31,11.111,8.41966666666667,-83.3341666666667
"CT43","tapir",0,91,0,"secondary","off",10,2669,1286,343,78,84.21,17.369,8.41802777777778,-83.32875
"CT44","tapir",0,108,0,"plantation","off",204,2617,887,26,242,64.24,10.925,8.41613888888889,-83.3245277777778
"CT46","tapir",0,106,0,"plantation","off",121,2623,76,375,300,49.74,17.294,8.41305555555556,-83.31625
"CT47","tapir",0,102,0,"plantation","off",188,2723,30,591,317,61.45,7.702,8.411,-83.3116111111111
"CT50","tapir",0,54,0,"primary","off",155,3207,760,150,95,51.21,15.451,8.42522222222222,-83.3348611111111
"CT52","tapir",0,104,0,"plantation","off",213,3088,1368,5,305,37.29,8.71,8.42152777777778,-83.3271944444444
"CT53","tapir",0,104,0,"primary","off",52,3078,839,206,207,60.59,14.369,8.41988888888889,-83.3226388888889
"CT55","tapir",0,106,0,"plantation","off",273,3165,152,21,300,72.26,12.334,8.41752777777778,-83.3142222222222
"CT59","tapir",1,106,0.94,"secondary","off",901,3845,1520,17,295,90.18,15.222,8.42902777777778,-83.3280833333333
"CT60","tapir",0,106,0,"primary","on",570,3680,1522,6,290,65.87,12.986,8.4265,-83.3251944444444
"CT61","tapir",0,106,0,"primary","off",409,3605,1042,8,317,35.98,17.093,8.42436111111111,-83.3209722222222
"CT62","tapir",0,106,0,"primary","off",623,3587,686,16,296,85.41,18.706,8.42277777777778,-83.3166944444445
"TCT01","tapir",0,93,0,"primary","on",406,1769,991,0,77,22.53,19.242,8.41002777777778,-83.3304166666667
"TCT02","tapir",0,80,0,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","tapir",0,92,0,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","tapir",2,90,2.22,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","tapir",0,91,0,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","tapir",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","tapir",1,75,1.33,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","tapir",0,74,0,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","tapir",0,76,0,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
"CT02","tayra",0,108,0,"agricultural_matrix","off",1631,252,582,104,12,70.25,10.435,8.40338888888889,-83.3538611111111
"CT03","tayra",0,110,0,"agricultural_matrix","off",644,201,96,160,1,22.9,5.697,8.40005555555556,-83.3453611111111
"CT04","tayra",0,110,0,"agricultural_matrix","off",1148,230,133,165,6,6.44,9.953,8.40177777777778,-83.3497222222222
"CT06","tayra",0,85,0,"secondary","off",219,135,499,116,14,38.71,7.239,8.39661111111111,-83.3369722222222
"CT07","tayra",0,108,0,"agricultural_matrix","off",1589,787,767,46,13,15.62,9.746,8.40927777777778,-83.35625
"CT08","tayra",0,106,0,"agricultural_matrix","off",1378,760,256,194,19,20.41,7.065,8.4075,-83.3516944444444
"CT09","tayra",0,106,0,"agricultural_matrix","off",970,718,38,85,2,12.78,11.038,8.40586111111111,-83.3479722222222
"CT10","tayra",1,106,0.94,"agricultural_matrix","off",546,702,353,247,17,13.57,6.62,8.40427777777778,-83.3437222222222
"CT12","tayra",0,109,0,"secondary","off",116,671,28,184,29,36.6,14.285,8.40108333333333,-83.3350277777778
"CT13","tayra",0,108,0,"agricultural_matrix","off",1199,1274,291,14,12,32.96,9.125,8.41352777777778,-83.3550555555556
"CT14","tayra",0,108,0,"agricultural_matrix","off",1319,1260,176,385,12,10.81,5.973,8.41186111111111,-83.3504722222222
"CT15","tayra",0,105,0,"secondary","off",817,1224,213,228,7,39.6,10.346,8.41011111111111,-83.34625
"CT16","tayra",0,75,0,"secondary","off",320,1187,136,289,17,20.13,6.029,8.40836111111111,-83.3420555555556
"CT17","tayra",0,110,0,"secondary","off",150,1157,277,111,29,53.33,12.154,8.40663888888889,-83.3377777777778
"CT18","tayra",0,109,0,"primary","off",306,1769,400,8,39,58.42,24.244,8.40505555555556,-83.3336111111111
"CT19","tayra",1,109,0.92,"primary","off",371,1201,607,88,44,63.1,17.687,8.40463888888889,-83.3305833333333
"CT20","tayra",0,106,0,"secondary","off",951,1769,174,105,23,41.67,15.626,8.41758333333333,-83.3530833333333
"CT21","tayra",0,108,0,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","tayra",1,109,0.92,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","tayra",0,109,0,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","tayra",9,109,8.26,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","tayra",0,109,0,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","tayra",5,108,4.63,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","tayra",0,108,0,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","tayra",1,107,0.93,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","tayra",0,104,0,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
